,fe,description
51,https://w3id.org/framester/framenet/abox/gfe/Business_Name,The formal designation or title by which a business or organization is recognized or identified.
52,https://w3id.org/framester/framenet/abox/gfe/Buyer,a person who buys
53,https://w3id.org/framester/framenet/abox/gfe/Calculator,an expert at calculation (or at operating calculating machines)
54,https://w3id.org/framester/framenet/abox/gfe/Capture,the act of forcibly dispossessing an owner of property
55,https://w3id.org/framester/framenet/abox/gfe/Carrier,someone whose employment involves carrying something
56,https://w3id.org/framester/framenet/abox/gfe/Case,an occurrence of something
57,https://w3id.org/framester/framenet/abox/gfe/Category,a collection of things sharing a common attribute
58,https://w3id.org/framester/framenet/abox/gfe/Cause,events that provide the generative force that is the origin of something
59,https://w3id.org/framester/framenet/abox/gfe/Cause_of_shine,The source or reason for something emitting light or appearing bright in a given context.
60,https://w3id.org/framester/framenet/abox/gfe/Change_agent,"An entity or factor that brings about or facilitates a transformation or shift in a system, behavior, or state."
61,https://w3id.org/framester/framenet/abox/gfe/Character_of_end_state,The defining attributes or qualities of the final condition or result of an event or process.
62,https://w3id.org/framester/framenet/abox/gfe/Characteristic,a prominent attribute or aspect of something
63,https://w3id.org/framester/framenet/abox/gfe/Characterization,a graphic or vivid verbal description
64,https://w3id.org/framester/framenet/abox/gfe/Charge,an impetuous rush toward someone or something
65,https://w3id.org/framester/framenet/abox/gfe/Child,a young person of either sex
66,https://w3id.org/framester/framenet/abox/gfe/Circumstance,a condition that accompanies or influences some event or activity
67,https://w3id.org/framester/framenet/abox/gfe/Circumstances,your overall circumstances or condition in life (including everything that happens to you)
68,https://w3id.org/framester/framenet/abox/gfe/Class,a collection of things sharing a common attribute
69,https://w3id.org/framester/framenet/abox/gfe/Co_Variable,"A variable that is related or associated with another, often in a joint or simultaneous manner within an event or process."
70,https://w3id.org/framester/framenet/abox/gfe/Co_participant,"An entity that participates alongside others in an event, action, or situation."
71,https://w3id.org/framester/framenet/abox/gfe/Co_resident,"An entity that shares the same location or environment as another, particularly in the context of living or residing together."
72,https://w3id.org/framester/framenet/abox/gfe/Co_theme,An entity that shares or participates in the same thematic role or subject matter within an event or situation.
73,https://w3id.org/framester/framenet/abox/gfe/Code,a set of rules or principles or laws (especially written ones)
74,https://w3id.org/framester/framenet/abox/gfe/Cognate_event,"An event related to or occurring alongside another event, typically sharing a common origin or theme."
75,https://w3id.org/framester/framenet/abox/gfe/Cognizer,"The entity perceiving or recognizing an event, action, or situation."
76,https://w3id.org/framester/framenet/abox/gfe/Color_qualifier,A descriptor that defines the characteristics or attributes of color within a given context.
77,https://w3id.org/framester/framenet/abox/gfe/Communicative_act,"An action or utterance intended to convey information, intention, or emotion in communication."
78,https://w3id.org/framester/framenet/abox/gfe/Company,an institution created to conduct business
79,https://w3id.org/framester/framenet/abox/gfe/Comparand,An entity or item used for comparison against another to evaluate similarities or differences.
80,https://w3id.org/framester/framenet/abox/gfe/Comparison_set,A group of entities or items considered together for the purpose of comparison.
81,https://w3id.org/framester/framenet/abox/gfe/Compeller,An entity or force that induces or forces another entity to act or behave in a particular way.
82,https://w3id.org/framester/framenet/abox/gfe/Compensation,something (such as money) given or received as payment or reparation (as for a service or loss or injury)
83,https://w3id.org/framester/framenet/abox/gfe/Competing_consideration,An alternative factor or concern that competes for attention or priority in decision-making.
84,https://w3id.org/framester/framenet/abox/gfe/Competition,a business relation in which two parties compete to gain customers
85,https://w3id.org/framester/framenet/abox/gfe/Competitor,the contestant you hope to defeat
86,https://w3id.org/framester/framenet/abox/gfe/Completeness,the state of being complete and entire; having everything that is needed
87,https://w3id.org/framester/framenet/abox/gfe/Complex,a conceptual whole made up of complicated and related parts
88,https://w3id.org/framester/framenet/abox/gfe/Component_entities,The individual entities that make up or contribute to a larger system or whole.
89,https://w3id.org/framester/framenet/abox/gfe/Components,an abstract part of something
90,https://w3id.org/framester/framenet/abox/gfe/Concessive,of or pertaining to concession
91,https://w3id.org/framester/framenet/abox/gfe/Condition,a state at a particular time
92,https://w3id.org/framester/framenet/abox/gfe/Configuration,an arrangement of parts or elements
93,https://w3id.org/framester/framenet/abox/gfe/Connected_item,An object or entity that is linked or associated with another item in a specific context
94,https://w3id.org/framester/framenet/abox/gfe/Connected_locations,Locations that are spatially or contextually linked or related in some way.
95,https://w3id.org/framester/framenet/abox/gfe/Connection,a relation between things or events (as in the case of one causing the other or sharing features with it)
96,https://w3id.org/framester/framenet/abox/gfe/Connections,a relation between things or events (as in the case of one causing the other or sharing features with it)
97,https://w3id.org/framester/framenet/abox/gfe/Consecutive,one after the other
98,https://w3id.org/framester/framenet/abox/gfe/Consequences,a phenomenon that follows and is caused by some previous phenomenon
99,https://w3id.org/framester/framenet/abox/gfe/Constituent_parts,The basic components or elements that collectively form a larger whole.
100,https://w3id.org/framester/framenet/abox/gfe/Consumer,a person who uses goods or services
101,https://w3id.org/framester/framenet/abox/gfe/Container,any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another)
102,https://w3id.org/framester/framenet/abox/gfe/Container_portal,An opening or access point through which an entity can enter or exit a container.
103,https://w3id.org/framester/framenet/abox/gfe/Container_possessor,The entity that owns or controls a container and its contents.
104,https://w3id.org/framester/framenet/abox/gfe/Containing_event,An event that encompasses or includes another event within its broader context.
105,https://w3id.org/framester/framenet/abox/gfe/Containing_text,A body of text that includes or surrounds another text or segment within it.
106,https://w3id.org/framester/framenet/abox/gfe/Content,everything that is included in a collection and that is held or included in something
107,https://w3id.org/framester/framenet/abox/gfe/Context,discourse that surrounds a language unit and helps to determine its interpretation
108,https://w3id.org/framester/framenet/abox/gfe/Context_of_acquaintance,The background or environment in which an entity becomes familiar with another entity.
109,https://w3id.org/framester/framenet/abox/gfe/Contract_basis,The foundational terms or conditions that form the basis of a formal agreement or contract.
110,https://w3id.org/framester/framenet/abox/gfe/Contrast,"the opposition or dissimilarity of things that are compared; ,"
111,https://w3id.org/framester/framenet/abox/gfe/Contrast_set,A group of items or entities used to highlight differences between them within a given context.
112,https://w3id.org/framester/framenet/abox/gfe/Contrastive_context,A situation or environment that emphasizes the differences between entities or events.
113,https://w3id.org/framester/framenet/abox/gfe/Conveyed_emotion,The emotional state or feeling communicated by an entity during an event or action.
114,https://w3id.org/framester/framenet/abox/gfe/Conviction,an unshakable belief in something without need for proof or evidence
115,https://w3id.org/framester/framenet/abox/gfe/Coordinated_event,Events that are planned or occur together in a synchronized manner.
116,https://w3id.org/framester/framenet/abox/gfe/Copy,a reproduction of a written record (e.g. of a legal or school record)
117,https://w3id.org/framester/framenet/abox/gfe/Correlated_event,Events that are related or associated due to a shared influence or cause.
118,https://w3id.org/framester/framenet/abox/gfe/Count,the total number counted
119,https://w3id.org/framester/framenet/abox/gfe/Counter_actor,An entity that opposes or acts in contrast to another entity within a given event or situation.
120,https://w3id.org/framester/framenet/abox/gfe/Countertransfer,"The transfer of something in response to a previous transfer, often in a reciprocal or opposing manner."
121,https://w3id.org/framester/framenet/abox/gfe/Country_of_origin,the country where you were born
122,https://w3id.org/framester/framenet/abox/gfe/Course,education imparted in a series of lessons or meetings
123,https://w3id.org/framester/framenet/abox/gfe/Court,an assembly (including one or more judges) to conduct judicial business
124,https://w3id.org/framester/framenet/abox/gfe/Creator,terms referring to the Judeo-Christian God
125,https://w3id.org/framester/framenet/abox/gfe/Crime,(criminal law) an act punishable by law; usually considered an evil act
126,https://w3id.org/framester/framenet/abox/gfe/Crime_jurisdiction,The legal authority or area within which a crime is considered to fall under a specific legal system.
127,https://w3id.org/framester/framenet/abox/gfe/Criterion,a basis for comparison; a reference point against which other things can be evaluated
128,https://w3id.org/framester/framenet/abox/gfe/Current_jurisdiction,"The jurisdiction or legal authority currently overseeing an event, action, or issue."
129,https://w3id.org/framester/framenet/abox/gfe/Dangerous_entity,An entity that poses a potential threat or harm to others within a given context.
130,https://w3id.org/framester/framenet/abox/gfe/Dangerous_situation,A scenario or event that presents risks or threats to the entities involved.
131,https://w3id.org/framester/framenet/abox/gfe/Debtor,a person who owes a creditor; someone who has the obligation of paying a debt
132,https://w3id.org/framester/framenet/abox/gfe/Deceased,someone who is no longer alive
133,https://w3id.org/framester/framenet/abox/gfe/Decision,the act of making up your mind about something
134,https://w3id.org/framester/framenet/abox/gfe/Decoration_descriptor,A term or attribute that describes the decorative features or qualities of an object or space.
135,https://w3id.org/framester/framenet/abox/gfe/Dedicated_entity,An entity that is specifically assigned or devoted to a particular purpose or function.
136,https://w3id.org/framester/framenet/abox/gfe/Dedicated_type,A classification or category of entity that is exclusively designed or set aside for a specific role or purpose.
137,https://w3id.org/framester/framenet/abox/gfe/Defense,(military) military action or resources protecting a country against potential enemies
138,https://w3id.org/framester/framenet/abox/gfe/Degree,a position on a scale of intensity or amount or quality
139,https://w3id.org/framester/framenet/abox/gfe/Degree_of_involvement,The level or extent to which an entity participates or is engaged in a particular event or action.
140,https://w3id.org/framester/framenet/abox/gfe/Delivery_device,An object or mechanism used to transfer or convey something to a destination.
141,https://w3id.org/framester/framenet/abox/gfe/Dependent,a person who relies on another person for support (especially financial support)
142,https://w3id.org/framester/framenet/abox/gfe/Dependent_entity,An entity whose existence or action is reliant on another entity or condition.
143,https://w3id.org/framester/framenet/abox/gfe/Dependent_individual,An individual whose actions or state are influenced by or contingent upon another.
144,https://w3id.org/framester/framenet/abox/gfe/Dependent_situation,A situation that arises or persists only due to the existence or occurrence of another event or condition.
145,https://w3id.org/framester/framenet/abox/gfe/Dependent_state,A state that is determined or sustained by an external entity or condition.
146,https://w3id.org/framester/framenet/abox/gfe/Dependent_variable,(statistics) a variable in a logical or mathematical expression whose value depends on the independent variable
147,https://w3id.org/framester/framenet/abox/gfe/Depictive,depicted in a recognizable manner
148,https://w3id.org/framester/framenet/abox/gfe/Described_entity,"An entity that is depicted, represented, or characterized in a particular way within a context."
149,https://w3id.org/framester/framenet/abox/gfe/Descriptor,the phonological or orthographic sound or appearance of a word that can be used to describe or identify something
150,https://w3id.org/framester/framenet/abox/gfe/Desirable_situation,A situation that is regarded as favorable or preferred within a given context.
151,https://w3id.org/framester/framenet/abox/gfe/Desired_state,A specific condition or outcome that is sought or intended in an event or action.
152,https://w3id.org/framester/framenet/abox/gfe/Determinant,a determining or causal element or factor
153,https://w3id.org/framester/framenet/abox/gfe/Deviation,a variation that deviates from the standard or norm
154,https://w3id.org/framester/framenet/abox/gfe/Device,an instrumentality invented for a particular purpose
155,https://w3id.org/framester/framenet/abox/gfe/Differentiating_fact,A fact or element that distinguishes one entity or situation from another.
156,https://w3id.org/framester/framenet/abox/gfe/Dimension,the magnitude of something in a particular direction (especially length or width or height)
157,https://w3id.org/framester/framenet/abox/gfe/Direction,a line leading to a place or point
158,https://w3id.org/framester/framenet/abox/gfe/Discourse_salient_country,A country that is particularly emphasized or relevant in a discourse or conversation.
159,https://w3id.org/framester/framenet/abox/gfe/Distance,the property created by the space between two objects or points
160,https://w3id.org/framester/framenet/abox/gfe/Distributor,someone who markets merchandise
161,https://w3id.org/framester/framenet/abox/gfe/Domain,a particular environment or walk of life
162,https://w3id.org/framester/framenet/abox/gfe/Domain_of_relevance,"The specific context or area in which particular entities, events, or concepts are significant or applicable."
163,https://w3id.org/framester/framenet/abox/gfe/Donor,person who makes a gift of property
164,https://w3id.org/framester/framenet/abox/gfe/Driver,the operator of a motor vehicle
165,https://w3id.org/framester/framenet/abox/gfe/Duration,the period of time during which something continues
166,https://w3id.org/framester/framenet/abox/gfe/Duration_of_endstate,The length of time during which a final condition or state persists after an event or action.
167,https://w3id.org/framester/framenet/abox/gfe/Duration_of_final_state,The time period in which the ultimate condition or state of an event remains unchanged.
168,https://w3id.org/framester/framenet/abox/gfe/Duration_of_state,The amount of time for which a particular state or condition is sustained.
169,https://w3id.org/framester/framenet/abox/gfe/Duty,the social force that binds you to the courses of action demanded by that force; ; - John D.Rockefeller Jr
170,https://w3id.org/framester/framenet/abox/gfe/Economy,the system of production and distribution and consumption
171,https://w3id.org/framester/framenet/abox/gfe/Effect,a phenomenon that follows and is caused by some previous phenomenon
172,https://w3id.org/framester/framenet/abox/gfe/Egg,animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds
173,https://w3id.org/framester/framenet/abox/gfe/Elapsed_time,the time that elapses while some event is occurring
174,https://w3id.org/framester/framenet/abox/gfe/Electricity,a physical phenomenon associated with stationary or moving electrons and protons
175,https://w3id.org/framester/framenet/abox/gfe/Element,an abstract part of something
176,https://w3id.org/framester/framenet/abox/gfe/Emission,the act of emitting; causing to flow forth
177,https://w3id.org/framester/framenet/abox/gfe/Emitter,the electrode in a transistor where electrons originate
178,https://w3id.org/framester/framenet/abox/gfe/Emotion,any strong feeling
179,https://w3id.org/framester/framenet/abox/gfe/Empathy_target,The entity or individual to whom empathy is directed or applied in a given context.
180,https://w3id.org/framester/framenet/abox/gfe/Employee,a worker who is hired to perform a job
181,https://w3id.org/framester/framenet/abox/gfe/Employer,a person or firm that employs workers
182,https://w3id.org/framester/framenet/abox/gfe/Enabled_action,An action that is made possible or facilitated by a particular condition or entity.
183,https://w3id.org/framester/framenet/abox/gfe/Enablement,The process or condition that allows an entity to perform a specific action or behavior.
184,https://w3id.org/framester/framenet/abox/gfe/Enclosed_region,A spatial area or environment that is surrounded or contained by boundaries.
185,https://w3id.org/framester/framenet/abox/gfe/End_point,a place where something ends or is complete
186,https://w3id.org/framester/framenet/abox/gfe/End_time,The point in time when an event or state concludes or ceases.
187,https://w3id.org/framester/framenet/abox/gfe/Endpoints,a place where something ends or is complete
188,https://w3id.org/framester/framenet/abox/gfe/Entities,that which is perceived or known or inferred to have its own distinct existence (living or nonliving)
189,https://w3id.org/framester/framenet/abox/gfe/Entity,that which is perceived or known or inferred to have its own distinct existence (living or nonliving)
190,https://w3id.org/framester/framenet/abox/gfe/Entity1,The first entity in a relationship or interaction.
191,https://w3id.org/framester/framenet/abox/gfe/Entity2,The second entity in a relationship or interaction.
192,https://w3id.org/framester/framenet/abox/gfe/Entry_path,The route or means by which an entity enters a space or context.
193,https://w3id.org/framester/framenet/abox/gfe/Epistemic_stance,"The position or attitude an individual takes regarding the certainty, belief, or knowledge about an event or proposition."
194,https://w3id.org/framester/framenet/abox/gfe/Equivalence,a state of being essentially equal or equivalent; equally balanced
195,https://w3id.org/framester/framenet/abox/gfe/Ethnicity,an ethnic quality or affiliation resulting from racial or cultural ties
196,https://w3id.org/framester/framenet/abox/gfe/Evaluation,act of ascertaining or fixing the value or worth of
197,https://w3id.org/framester/framenet/abox/gfe/Evaluee,The entity being evaluated or assessed within a given context.
198,https://w3id.org/framester/framenet/abox/gfe/Event,something that happens at a given place and time
199,https://w3id.org/framester/framenet/abox/gfe/Event_description,A narrative or representation that outlines the details and components of an event.
200,https://w3id.org/framester/framenet/abox/gfe/Evidence,your basis for belief or disbelief; knowledge on which to base belief
201,https://w3id.org/framester/framenet/abox/gfe/Examination,the act of examining something closely (as for mistakes)
202,https://w3id.org/framester/framenet/abox/gfe/Excess,a quantity much larger than is needed
203,https://w3id.org/framester/framenet/abox/gfe/Existing_member,"An entity that is already part of a group, system, or category."
204,https://w3id.org/framester/framenet/abox/gfe/Expected_entity,An entity anticipated to participate in or occur within a specific context.
205,https://w3id.org/framester/framenet/abox/gfe/Expected_event,An event that is anticipated to happen based on prior information or conditions.
206,https://w3id.org/framester/framenet/abox/gfe/Experience,the accumulation of knowledge or skill that results from direct participation in events or activities
207,https://w3id.org/framester/framenet/abox/gfe/Experiencer,"The entity that perceives, feels, or undergoes an experience in a particular event or situation."
208,https://w3id.org/framester/framenet/abox/gfe/Explanation,a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.
209,https://w3id.org/framester/framenet/abox/gfe/Exporting_area,"A region or zone from which goods, services, or information are sent or transferred to another."
210,https://w3id.org/framester/framenet/abox/gfe/Expression,the feelings expressed on a person's face
211,https://w3id.org/framester/framenet/abox/gfe/Expressor,"The entity that conveys or communicates an emotion, thought, or intention in a given context."
212,https://w3id.org/framester/framenet/abox/gfe/Exterior,the region that is outside of something
213,https://w3id.org/framester/framenet/abox/gfe/External_cause,A factor or force outside of an entity that triggers or influences an event or condition.
214,https://w3id.org/framester/framenet/abox/gfe/Facility,a building or place that provides a particular service or is used for a particular industry
215,https://w3id.org/framester/framenet/abox/gfe/Fact,a piece of information about circumstances that exist or events that have occurred
216,https://w3id.org/framester/framenet/abox/gfe/Factor,anything that contributes causally to a result
217,https://w3id.org/framester/framenet/abox/gfe/Factory,a plant consisting of one or more buildings with facilities for manufacturing
218,https://w3id.org/framester/framenet/abox/gfe/Fastener,a person who fastens or makes fast
219,https://w3id.org/framester/framenet/abox/gfe/Father,a male parent (also used as a term of address to your father)
220,https://w3id.org/framester/framenet/abox/gfe/Feature,a prominent attribute or aspect of something
221,https://w3id.org/framester/framenet/abox/gfe/Fidelity,accuracy with which an electronic system reproduces the sound or image of its input signal
222,https://w3id.org/framester/framenet/abox/gfe/Field,a piece of land cleared of trees and usually enclosed
223,https://w3id.org/framester/framenet/abox/gfe/Fight,a hostile meeting of opposing military forces in the course of a war
224,https://w3id.org/framester/framenet/abox/gfe/Figure,a diagram or picture illustrating textual material
225,https://w3id.org/framester/framenet/abox/gfe/Final_category,The last classification or category that an entity or event is assigned to after a process or transformation.
226,https://w3id.org/framester/framenet/abox/gfe/Final_correlate,The final entity or condition that is associated or corresponds with another in a process or event.
227,https://w3id.org/framester/framenet/abox/gfe/Final_state,The ultimate condition or outcome after a series of events or actions.
228,https://w3id.org/framester/framenet/abox/gfe/Final_value,"The concluding measurement, quantity, or quality of an entity after a process or event."
229,https://w3id.org/framester/framenet/abox/gfe/Fixed_location,A location that remains constant and does not change over time.
230,https://w3id.org/framester/framenet/abox/gfe/Flame,the process of combustion of inflammable materials producing heat and light and (often) smoke
231,https://w3id.org/framester/framenet/abox/gfe/Focal_entity,The primary entity of focus within a specific context or event.
232,https://w3id.org/framester/framenet/abox/gfe/Focal_participant,The main participant in an event or scenario that is the primary focus of attention.
233,https://w3id.org/framester/framenet/abox/gfe/Following_distance,The spatial gap or distance maintained between entities as they move or interact.
234,https://w3id.org/framester/framenet/abox/gfe/Force,a powerful effect or influence
235,https://w3id.org/framester/framenet/abox/gfe/Form,the phonological or orthographic sound or appearance of a word that can be used to describe or identify something
236,https://w3id.org/framester/framenet/abox/gfe/Formational_cause,The cause or factor responsible for the formation or creation of something.
237,https://w3id.org/framester/framenet/abox/gfe/Frequency,the number of occurrences within a given time period
238,https://w3id.org/framester/framenet/abox/gfe/Frequency_of_use,The rate or regularity with which an entity or action is employed or utilized.
239,https://w3id.org/framester/framenet/abox/gfe/Function,(mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function)
240,https://w3id.org/framester/framenet/abox/gfe/Game,a contest with rules to determine a winner
241,https://w3id.org/framester/framenet/abox/gfe/Goal,the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it
242,https://w3id.org/framester/framenet/abox/gfe/Goods,benefit
243,https://w3id.org/framester/framenet/abox/gfe/Governed,the body of people who are citizens of a particular government; --Declaration of Independence
244,https://w3id.org/framester/framenet/abox/gfe/Governing_authority,"The entity or institution that holds the power to regulate, enforce, or manage certain actions or entities."
245,https://w3id.org/framester/framenet/abox/gfe/Gradable_attribute,"An attribute that can be measured along a scale or spectrum, indicating varying degrees or intensities."
246,https://w3id.org/framester/framenet/abox/gfe/Ground,the solid part of the earth's surface
247,https://w3id.org/framester/framenet/abox/gfe/Grounds,your basis for belief or disbelief; knowledge on which to base belief
248,https://w3id.org/framester/framenet/abox/gfe/Group,any number of entities (members) considered as a unit
249,https://w3id.org/framester/framenet/abox/gfe/Guardian,a person who cares for persons or property
250,https://w3id.org/framester/framenet/abox/gfe/Guest,a visitor to whom hospitality is extended
251,https://w3id.org/framester/framenet/abox/gfe/Hair,a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss
252,https://w3id.org/framester/framenet/abox/gfe/Hair_Property,"A characteristic or trait associated with the hair of an entity, such as texture, color, or length."
253,https://w3id.org/framester/framenet/abox/gfe/Handle,the appendage to an object that is designed to be held in order to use or move it
254,https://w3id.org/framester/framenet/abox/gfe/Harmful_event,"An event that causes damage, injury, or negative impact to an entity or environment."
255,https://w3id.org/framester/framenet/abox/gfe/Hiatus,an interruption in the intensity or amount of something
256,https://w3id.org/framester/framenet/abox/gfe/Hiding_place,a place suitable for hiding something (such as yourself)
257,https://w3id.org/framester/framenet/abox/gfe/Hindrance,something immaterial that interferes with or delays action or progress
258,https://w3id.org/framester/framenet/abox/gfe/Holding_location,"The location where an entity or item is stored, kept, or held temporarily."
259,https://w3id.org/framester/framenet/abox/gfe/Homeland,the country where you were born
260,https://w3id.org/framester/framenet/abox/gfe/Honored_entity,"An entity that is recognized, respected, or celebrated for its actions or contributions in a specific context."
261,https://w3id.org/framester/framenet/abox/gfe/Honoree,a recipient of honors in recognition of noteworthy accomplishments
262,https://w3id.org/framester/framenet/abox/gfe/Host,a person who invites guests to a social event (such as a party in his or her own home) and who is responsible for them while they are there
263,https://w3id.org/framester/framenet/abox/gfe/Host_location,The location or environment that hosts or accommodates another entity or group.
264,https://w3id.org/framester/framenet/abox/gfe/Hot_Cold_source,An entity or factor that produces or is associated with extreme temperatures (either hot or cold).
265,https://w3id.org/framester/framenet/abox/gfe/Illicit_organization,A group or entity engaged in illegal or unlawful activities within a particular context.
266,https://w3id.org/framester/framenet/abox/gfe/Image,an iconic mental representation
267,https://w3id.org/framester/framenet/abox/gfe/Impactors,Entities or factors that have a significant influence or effect on a situation or condition.
268,https://w3id.org/framester/framenet/abox/gfe/Importing_area,"A region or zone that receives goods, services, or information from an external source."
269,https://w3id.org/framester/framenet/abox/gfe/Impression,a vague idea in which some confidence is placed
270,https://w3id.org/framester/framenet/abox/gfe/Increment,a process of becoming larger or longer or more numerous or more important
271,https://w3id.org/framester/framenet/abox/gfe/Independent_variable,(statistics) a variable whose values are independent of changes in the values of other variables
272,https://w3id.org/framester/framenet/abox/gfe/Individual,a human being
273,https://w3id.org/framester/framenet/abox/gfe/Individuals,a human being
274,https://w3id.org/framester/framenet/abox/gfe/Inference,the reasoning involved in drawing a conclusion or making a logical judgment on the basis of circumstantial evidence and prior conclusions rather than on the basis of direct observation
275,https://w3id.org/framester/framenet/abox/gfe/Influencing_entity,An entity that exerts influence or control over another entity or event within a given context.
276,https://w3id.org/framester/framenet/abox/gfe/Influencing_situation,A situation in which an entity or factor has a significant impact on the course or outcome of events.
277,https://w3id.org/framester/framenet/abox/gfe/Influencing_variable,A variable that alters or affects the outcome or behavior of a situation or system.
278,https://w3id.org/framester/framenet/abox/gfe/Information,a message received and understood
